stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,accept_rate,k0_labelfree,n_refine_iters
e1,calce,direct,CS2_33,256,25.776424407958984,29.148014520517194,-1.4827728271484375,25.776424407958984,79.67667436489607,,,,
e2,calce,coral,CS2_33,256,25.91742706298828,30.859951537335874,-1.7829763889312744,25.91742706298828,81.06235565819861,,,,
e2,calce,self_train,CS2_33,256,22.970592498779297,25.88775703600968,-0.958429217338562,22.970592498779297,78.40646651270208,,,,
e2,calce,dann,CS2_33,256,24.1163272857666,27.203997778216117,-1.1626415252685547,24.1163272857666,79.44572748267899,,,,
e3,calce,hipif,CS2_33,256,3.879918185855187,4.624091537249467,0.9375155607731039,25.745262145996094,79.67667436489607,0.0,19.424160233674108,0.35,14.0
e4,calce,no_gate,CS2_33,256,6.0614469975599174,7.649647786381196,0.8289977164760143,6.046276092529297,10.854503464203233,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_33,256,4.100543592025263,4.818339971721348,0.9321556149265889,24.62394905090332,79.44572748267899,0.0,19.528479031921552,0.35,14.0
e4,calce,no_projection,CS2_33,256,4.097259051788437,4.816914425017713,0.9321957536602785,26.666852951049805,79.44572748267899,0.0,19.424160233674108,0.35,14.0
e4,calce,direct_proj,CS2_33,256,4.165047005096538,4.885643035613028,0.9302470633799047,25.776424407958984,79.67667436489607,0.0,,,
e1,calce,direct,CS2_34,256,27.59370994567871,30.014203587504824,-3.5424232482910156,27.59370994567871,93.80645161290323,,,,
e2,calce,coral,CS2_34,256,27.4815673828125,30.485834553091006,-3.686300277709961,27.4815673828125,96.90322580645162,,,,
e2,calce,self_train,CS2_34,256,23.53499984741211,26.04625636637874,-2.4207754135131836,23.53499984741211,91.87096774193549,,,,
e2,calce,dann,CS2_34,256,25.463214874267578,27.684393783857494,-2.8645946979522705,25.463214874267578,92.7741935483871,,,,
e3,calce,hipif,CS2_34,256,3.4627159608115248,4.081114818227203,0.9160169711468483,26.18553924560547,91.61290322580645,0.0,21.62162162162162,0.35,14.0
