stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,pvr_I1,pvr_I2,pvr_I3,pvr_I4,pvr_all
e6,nasa,calib_H0,B0006,2718,2.7807110110339828,3.1901308870145533,0.9355329489540376,3.1924901008605957,0.0,0.0,,,,,
e6,nasa,calib_H1,B0006,2718,2.160328685542222,2.475727193286265,0.961173667049499,14.550007820129395,94.04761904761905,0.0,,,,,
e6,nasa,calib_H2,B0006,2718,2.196070569315244,2.4922804676195836,0.9606527279320104,15.505229949951172,95.83333333333334,0.0,,,,,
e5,nasa,drop_I1,B0007,2718,2.1987697722276103,2.364561882111755,0.913149889236972,20.382883071899414,95.23809523809523,0.0,0.0,13.690476190476192,0.0,95.23809523809523,99.40476190476191
e5,nasa,drop_I2,B0007,2718,2.199259364708096,2.363202367465262,0.9132497301884462,20.0417423248291,95.83333333333334,0.0,0.0,12.5,0.0,95.83333333333334,99.40476190476191
e5,nasa,drop_I3,B0007,2718,2.2115899572558484,2.3841701753464117,0.9117034957192767,20.558544158935547,94.64285714285714,0.0,0.0,11.30952380952381,0.0,94.64285714285714,98.80952380952381
e5,nasa,drop_I4,B0007,2718,2.0582440080985243,2.2327132091304205,0.9225654298937719,6.936818599700928,79.16666666666666,0.0,0.0,6.547619047619048,0.0,77.97619047619048,82.14285714285714
e6,nasa,calib_H0,B0007,2718,3.2114945355204956,3.988229306980022,0.7529247467580138,7.441506385803223,0.0,0.0,,,,,
e6,nasa,calib_H1,B0007,2718,2.204166945374799,2.366074226514523,0.9130387572053427,20.30025291442871,95.83333333333334,0.0,,,,,
e6,nasa,calib_H2,B0007,2718,2.2083106873221343,2.3683669104702756,0.9128701477516408,20.268136978149414,94.64285714285714,0.0,,,,,
e5,nasa,drop_I1,B0018,2718,2.0277935287520097,2.301240657790328,0.9110245646726801,15.384143829345703,90.15151515151516,0.0,0.0,12.878787878787879,0.0,90.15151515151516,94.6969696969697
e5,nasa,drop_I2,B0018,2718,1.9045563697021644,2.195526792489047,0.9190114679651501,14.192222595214844,88.63636363636364,0.0,0.0,8.333333333333332,0.0,88.63636363636364,90.15151515151516
e5,nasa,drop_I3,B0018,2718,2.0890260992358383,2.4051096610500196,0.9028112916511435,15.594870567321777,90.9090909090909,0.0,0.0,10.606060606060606,0.0,90.9090909090909,94.6969696969697
e5,nasa,drop_I4,B0018,2718,2.8820372846912043,3.3620914287965737,0.8100824567681636,2.8435916900634766,0.0,0.0,0.0,9.090909090909092,0.0,0.0,9.090909090909092
e6,nasa,calib_H0,B0018,2718,4.9815635606939495,5.398449586357973,0.510351819800539,3.6578304767608643,0.0,0.0,,,,,
e6,nasa,calib_H1,B0018,2718,1.8861422246149024,2.1591321365051095,0.9216742634300068,14.75750732421875,90.15151515151516,0.0,,,,,
e6,nasa,calib_H2,B0018,2718,1.8709503356173565,2.1533050926635204,0.9220964623489633,15.068527221679688,90.15151515151516,0.0,,,,,
e5,calce,drop_I1,CS2_33,42,3.648361326357463,4.468965942298714,0.9416376029173724,26.12199592590332,79.09930715935334,0.0,0.0,3.4642032332563506,0.0,78.17551963048498,79.56120092378754
